2166,304,481,2650,279,45,378,139,774,55,51,2080,330,1847,709,7304,1707,553,138,3010,352,2076,223,19312,272,1115,1010,62,1878,10153,142,252
2387,311,525,2462,285,41,409,166,758,80,47,2174,244,2342,758,7271,1855,569,145,3043,370,2088,230,18923,259,1318,1088,53,1925,9713,101,332
2277,277,575,2321,344,44,425,169,820,78,59,2258,228,2385,844,7275,1919,757,151,2999,421,2082,231,18708,291,1207,1183,71,1767,9762,115,386
2478,303,623,2329,351,50,414,179,819,131,146,2292,218,2523,837,7224,2012,903,142,3197,434,2186,239,18539,321,1579,1231,59,1728,9553,106,324
2587,251,637,1896,371,49,426,167,634,145,144,2213,164,2637,859,7233,2046,995,106,3269,763,2207,253,18551,316,1705,1261,72,1705,9357,164,358
2954,272,582,1633,422,48,425,183,496,191,138,2488,158,2911,942,7249,2260,1042,105,3447,854,2212,265,18346,272,1765,1313,72,1744,9280,200,381
3023,280,573,1486,470,77,482,230,615,196,142,2593,174,3080,1023,6951,2456,1006,139,3759,871,2100,229,18128,304,1842,1310,75,1692,9091,214,397
3166,293,606,1769,572,86,424,258,533,187,199,2626,208,2861,1067,6728,2632,1121,111,4085,921,1961,236,17973,308,1781,1362,80,1739,8635,248,343
3282,273,633,2007,630,122,451,225,843,201,200,3009,388,2775,1125,6985,2794,1158,254,4398,1084,2026,283,18058,271,1759,1347,88,1951,9078,290,334
3575,330,614,2165,780,119,496,229,846,224,218,3096,470,3022,1266,6946,3153,1042,268,4980,1157,2159,340,18093,280,2015,1389,90,2174,8815,302,359
3848,318,604,2240,896,121,521,249,853,212,151,3046,531,3050,1401,6901,3317,964,270,4863,1282,2115,413,18034,358,1725,1317,101,2327,8561,309,420
4167,350,655,2218,1150,153,469,264,997,256,164,3279,666,3885,1566,7109,3884,972,297,4911,1266,2232,431,17770,379,1611,1343,90,2454,8722,276,453
4126,362,710,2272,1155,166,484,270,1079,237,187,3229,751,4089,1657,7116,4196,966,322,5338,1245,2396,443,18366,450,1593,1420,106,2543,8836,256,546
4121,321,644,2313,1166,125,447,290,991,246,206,3247,766,4362,1666,7406,4201,927,361,5449,1336,2519,473,17667,454,1487,1538,103,2590,8828,267,581
4246,304,723,2258,1098,136,505,284,1176,259,190,3406,802,4824,1667,7523,4450,876,363,5609,1364,2663,452,17437,603,1618,1559,118,2746,8961,283,662
4009,316,701,2315,1108,122,488,314,1200,251,223,3231,652,4943,1623,5400,4892,888,280,6037,1344,2881,437,17530,738,1702,1766,110,2728,8996,275,631
3705,279,737,2175,958,142,461,314,1124,237,237,3499,620,5017,1581,5344,4979,812,259,5744,1310,2818,439,17602,696,1715,1707,87,2588,9009,258,597
